Episode,Score,MaxTile,Moves,Duration_Sec,N_Empty,N_Max,N_Snake,N_Merge,N_Corner,N_Neigh,P_Empty,P_Max,P_Snake,P_Merge,P_Corner,P_Neigh
163,7144,512,496,1.613,2.57298,3.18976,2.37855,1.16184,1.15434,1.84862,1.03997,2.93465,2.50739,1.11821,0.73285,2.08566
164,14932,1024,881,2.892,2.58997,3.2162,2.39692,1.16771,1.15832,1.86108,1.04489,2.95963,2.52813,1.12434,0.74236,2.09929
165,5744,512,403,1.4721,2.59924,3.22674,2.40402,1.17009,1.15888,1.86584,1.04722,2.96802,2.53513,1.1271,0.74236,2.10559
166,11244,1024,644,2.1097,2.6111,3.24397,2.41574,1.17405,1.15937,1.87442,1.05115,2.98478,2.54938,1.13119,0.74437,2.1142
167,3132,256,259,0.874,2.61766,3.24985,2.41933,1.17504,1.15855,1.87727,1.05255,2.98937,2.55339,1.13251,0.74437,2.11848
168,7272,512,506,1.6991,2.63,3.26483,2.42963,1.17954,1.16209,1.88408,1.05546,3.00156,2.56307,1.13564,0.74803,2.1259
169,11632,1024,690,2.317,2.64976,3.29254,2.44841,1.18494,1.16901,1.89794,1.05808,3.01311,2.57247,1.13852,0.75229,2.13155
170,7020,512,472,1.6057,2.66003,3.30737,2.45951,1.1876,1.17493,1.90545,1.06017,3.02222,2.57991,1.14136,0.75497,2.13676
171,12732,1024,759,2.5805,2.6757,3.32885,2.47388,1.19188,1.18026,1.91602,1.06486,3.0419,2.59632,1.14646,0.76268,2.14719
172,6992,512,481,1.6089,2.68519,3.33847,2.48045,1.19382,1.18073,1.92206,1.06858,3.05633,2.60835,1.15082,0.76268,2.15781
173,6292,512,417,1.444,2.69715,3.35223,2.48967,1.19815,1.18189,1.92833,1.07065,3.06256,2.61327,1.15248,0.76268,2.16146
174,3180,256,263,0.9156,2.70383,3.36059,2.49591,1.20015,1.18223,1.93289,1.07121,3.06389,2.61439,1.15264,0.76268,2.16269
175,7500,512,511,1.7258,2.7164,3.37682,2.50766,1.2037,1.18839,1.93984,1.07279,3.07076,2.62053,1.15428,0.76605,2.16781
176,3472,256,288,0.9945,2.72342,3.38374,2.51229,1.20562,1.18944,1.94312,1.07386,3.07477,2.62416,1.15532,0.76774,2.17055
177,3980,256,319,1.0855,2.73079,3.39215,2.51851,1.20782,1.18995,1.9481,1.0757,3.08064,2.62952,1.15656,0.76849,2.17384
178,7156,512,488,1.6438,2.74103,3.40314,2.52587,1.20972,1.19177,1.9529,1.0782,3.09012,2.63773,1.15874,0.76849,2.18117
179,7288,512,509,1.694,2.75507,3.42031,2.53832,1.21374,1.1945,1.96192,1.08011,3.10045,2.64671,1.16167,0.76949,2.18771
180,7852,512,534,1.7717,2.76998,3.44068,2.55288,1.21775,1.19782,1.97228,1.08226,3.11308,2.65762,1.16498,0.77008,2.19661
181,6752,512,467,1.5435,2.77845,3.45013,2.5591,1.21938,1.19721,1.97711,1.08518,3.12683,2.66915,1.16924,0.7738,2.20675
